file,width,height,fps,nb_frames,rotation,display_w,display_h,error
videos\G2\P01\20260803\G2_P01_20260803_impA_001.mp4,1920,1080,30.008,66,90,1080,1920,
videos\G2\P01\20260803\G2_P01_20260803_impA_002.mp4,1920,1080,30.534,57,90,1080,1920,
videos\G2\P01\20260804\G2_P01_20260804_impA_001.mp4,1920,1080,29.685,60,90,1080,1920,
videos\G2\P01\20260804\G2_P01_20260804_impA_002.mp4,1920,1080,30.004,68,90,1080,1920,
videos\G2\P01\20260805\G2_P01_20260805_impA_001.mp4,1920,1080,30.246,57,90,1080,1920,
videos\G2\P01\20260805\G2_P01_20260805_impA_002.mp4,1920,1080,29.728,62,90,1080,1920,
videos\G2\P02\20260725\G2_P02_20260725_own_001.mp4,1920,1080,29.982,86,90,1080,1920,
videos\G2\P02\20260725\G2_P02_20260725_own_002.mp4,1920,1080,30.193,77,90,1080,1920,
videos\G2\P02\20260725\G2_P02_20260725_own_003.mp4,1920,1080,30.422,49,90,1080,1920,
videos\G2\P02\20260725\G2_P02_20260725_own_004.mp4,1920,1080,29.771,64,90,1080,1920,
videos\G2\P02\20260725\G2_P02_20260725_own_005.mp4,1920,1080,29.78,48,90,1080,1920,
videos\G2\P02\20260725\G2_P02_20260725_own_006.mp4,1920,1080,30.308,37,90,1080,1920,
videos\G2\P02\20260725\G2_P02_20260725_own_007.mp4,1920,1080,29.834,42,90,1080,1920,
videos\G2\P02\20260725\G2_P02_20260725_own_008.mp4,1920,1080,29.58,44,90,1080,1920,
videos\G2\P02\20260725\G2_P02_20260725_own_009.mp4,1920,1080,30.005,43,90,1080,1920,
videos\G2\P02\20260725\G2_P02_20260725_own_010.mp4,1920,1080,23.806,48,90,1080,1920,
videos\G2\P02\20260729\G2_P02_20260729_own_001.mp4,1920,1080,30.449,65,90,1080,1920,
videos\G2\P02\20260729\G2_P02_20260729_own_002.mp4,1920,1080,30.19,57,90,1080,1920,
videos\G2\P02\20260729\G2_P02_20260729_own_003.mp4,1920,1080,30.528,53,90,1080,1920,
videos\G2\P02\20260729\G2_P02_20260729_own_004.mp4,1920,1080,30.004,63,90,1080,1920,
videos\G2\P02\20260729\G2_P02_20260729_own_005.mp4,1920,1080,29.927,60,90,1080,1920,
videos\G2\P02\20260731\G2_P02_20260731_own_001.mp4,1920,1080,28.18,73,90,1080,1920,
videos\G2\P02\20260731\G2_P02_20260731_own_002.mp4,1920,1080,30.264,77,90,1080,1920,
videos\G2\P02\20260731\G2_P02_20260731_own_003.mp4,1920,1080,30.191,73,90,1080,1920,
videos\G2\P02\20260731\G2_P02_20260731_own_004.mp4,1920,1080,29.866,64,90,1080,1920,
videos\G2\P02\20260731\G2_P02_20260731_own_005.mp4,1920,1080,30.29,69,90,1080,1920,
videos\G2\P02\20260801\G2_P02_20260801_own_001.mp4,1920,1080,29.764,71,90,1080,1920,
videos\G2\P02\20260801\G2_P02_20260801_own_002.mp4,1920,1080,29.579,58,90,1080,1920,
videos\G2\P02\20260801\G2_P02_20260801_own_003.mp4,1920,1080,30.011,52,90,1080,1920,
videos\G2\P02\20260801\G2_P02_20260801_own_004.mp4,1920,1080,29.966,66,90,1080,1920,
videos\G2\P02\20260801\G2_P02_20260801_own_005.mp4,1920,1080,30.561,57,90,1080,1920,
